time,Panel_1_Temperature_Max,Panel_1_Temperature_Avg,Panel_2_Temperature_Min,Panel_2_Temperature_Max,Panel_2_Temperature_Avg,Panel_3_Temperature_Min,Panel_3_Temperature_Max,Panel_3_Temperature_Avg
1584853845,69,13,-27,43,3,-21,77,5
1584853902,69,11,-27,43,2,-21,77,4
1584853965,69,10,-27,43,0,-21,77,3
1584854022,69,8,-27,43,-2,-21,77,2
1584854085,69,6,-27,43,-3,-21,77,1
1584854142,69,5,-27,43,-5,-21,77,0
1584854204,69,4,-27,43,-6,-21,77,-1
1585016324,69,34,-27,43,12,-21,77,16
1585016382,69,35,-27,43,15,-21,77,15
1585016444,69,32,-27,43,21,-21,77,16
1585016502,69,29,-27,43,22,-21,77,22
1585016564,69,26,-27,43,20,-21,77,26
1585016622,69,23,-27,43,17,-21,77,29
1585016684,69,21,-27,43,16,-21,77,33
1585016746,69,18,-27,43,16,-21,77,37
1585016804,69,16,-27,43,17,-21,77,40
1585016866,69,14,-27,43,16,-21,77,44
1585016924,69,13,-27,43,14,-21,77,44
1585022142,69,28,-27,43,18,-21,77,23
1585022625,20,19,6,8,7,19,21,20
1585022682,20,18,5,8,5,17,21,18
1585022802,20,14,2,8,2,14,21,14
1585022864,20,12,1,8,1,13,21,13
1585022984,20,9,-2,8,-2,9,21,10
1587416114,73,15,-23,63,17,-23,70,17
1587416177,73,14,-23,63,16,-23,70,20
1587416234,73,14,-23,63,16,-23,70,21
1587416296,73,16,-23,63,15,-23,70,20
1587416354,73,19,-23,63,17,-23,70,19
1587416416,73,20,-23,63,20,-23,70,23
1587416474,73,19,-23,63,23,-23,70,26
1587416536,73,20,-23,63,26,-23,70,25
1587416594,73,19,-23,63,30,-23,70,25
1587416656,73,18,-23,63,32,-23,70,28
1587759794,73,12,-24,63,23,-23,70,10
1587759861,73,11,-24,63,25,-23,70,10
1587759914,73,10,-24,63,29,-23,70,10
1587759976,73,8,-24,63,33,-23,70,10
1587760038,73,8,-24,63,36,-23,70,11
1587760096,73,7,-24,63,39,-23,70,11
1587760158,73,7,-24,63,42,-23,70,12
1587760216,73,7,-24,63,43,-23,70,13
1587760273,73,8,-24,63,45,-23,70,14
1587760336,73,10,-24,63,47,-23,70,14
