time,Node_Voltage_Min,Node_Voltage_Max,Node_Voltage_Avg
1587675342,3.3000000000000003,3.516,3.376
1587675414,3.3000000000000003,3.516,3.384
1587675472,3.3000000000000003,3.516,3.384
1587675529,3.3000000000000003,3.516,3.384
1587675587,3.3000000000000003,3.516,3.392
1587675644,3.3000000000000003,3.516,3.392
1587675774,3.3000000000000003,3.516,3.42
1587679973,3.3000000000000003,3.516,3.344
1587680031,3.3000000000000003,3.516,3.348
1587680088,3.3000000000000003,3.516,3.344
1587680146,3.3000000000000003,3.516,3.356
1587680203,3.3000000000000003,3.516,3.352
1587680333,3.3000000000000003,3.516,3.364
1587681167,3.3000000000000003,3.516,3.392
1587681224,3.3000000000000003,3.516,3.408
1587681354,3.3000000000000003,3.516,3.448
1587681411,3.3000000000000003,3.516,3.44
1587681469,3.3000000000000003,3.516,3.448
1587681584,3.3000000000000003,3.516,3.392
1587686934,3.3000000000000003,3.516,3.38
1587686991,3.3000000000000003,3.516,3.376
1587691967,3.3000000000000003,3.516,3.384
1587692025,3.3000000000000003,3.516,3.376
1587692082,3.3000000000000003,3.516,3.376
1587692154,3.3000000000000003,3.516,3.376
1587697907,3.3000000000000003,3.516,3.352
1587698094,3.3000000000000003,3.516,3.376
1587698151,3.3000000000000003,3.516,3.384
1587698209,3.3000000000000003,3.516,3.376
1587703846,3.3000000000000003,3.516,3.388
1587703904,3.3000000000000003,3.516,3.4
1587703975,3.3000000000000003,3.516,3.428
1587704033,3.3000000000000003,3.516,3.44
1587704090,3.3000000000000003,3.516,3.424
1587708232,3.3000000000000003,3.516,3.356
1587708347,3.3000000000000003,3.516,3.34
1587708405,3.3000000000000003,3.516,3.34
1587709786,3.3000000000000003,3.516,3.472
1587709843,3.3000000000000003,3.516,3.424
1587709915,3.3000000000000003,3.516,3.392
1587710807,3.3000000000000003,3.516,3.46
1587710922,3.3000000000000003,3.516,3.456
1587710994,3.3000000000000003,3.516,3.448
1587713927,3.3000000000000003,3.516,3.356
1587713985,3.3000000000000003,3.516,3.36
1587714042,3.3000000000000003,3.516,3.368
1587714114,3.3000000000000003,3.516,3.368
1587714172,3.3000000000000003,3.516,3.372
1587714229,3.3000000000000003,3.516,3.372
1587714287,3.3000000000000003,3.516,3.372
1587716214,3.3000000000000003,3.516,3.42
1587716329,3.3000000000000003,3.516,3.432
1587716387,3.3000000000000003,3.516,3.416
1587716444,3.3000000000000003,3.516,3.444
1587716502,3.3000000000000003,3.516,3.432
1587716689,3.3000000000000003,3.516,3.424
1587716804,3.3000000000000003,3.516,3.388
1587718975,3.3000000000000003,3.516,3.336
